ID	activities_GSM1705375	activities_GSM1705377	deltas_GSM1705375	deltas_GSM1705377	zscores_GSM1705375	zscores_GSM1705377	combined.Zscore	regions_present_fraction	region	motif	standard_zscores_GSM1705375	pval_GSM1705375	corr_pval_GSM1705375	standard_zscores_GSM1705377	pval_GSM1705377	corr_pval_GSM1705377	combined.standard.Zscore	max.abs.standard.Zscore	significance-marker
u50to0.d0to0|PUM1_569	485.0286726	-485.0286726	215.6997684	215.6997684	2.24862862	-2.24862862	2.24862862	0.30924548	u50to0.d0to0	PUM1_569	1.12664410840334	0.12994649107742	1.0	-1.12664410840334	0.12994649107742	1.0	1.12664410840334	1.12664410840334	False
u50to0.d0to0|RBFOX1_M298_0.6	-11.6034394	11.6034394	4.524097	4.524097	-2.56480784	2.56480784	2.56480784	0.2805526	u50to0.d0to0	RBFOX1_M298_0.6	-1.11153514637855	0.13316903520515302	1.0	1.11153514637855	0.13316903520515302	1.0	1.11153514637855	1.11153514637855	False
u50to0.d0to0|SNRPA_M069_0.6	-223.3232545	223.3232545	87.0721195	87.0721195	-2.56480784	2.56480784	2.56480784	0.40170032	u50to0.d0to0	SNRPA_M069_0.6	-1.11153514637855	0.13316903520515302	1.0	1.11153514637855	0.13316903520515302	1.0	1.11153514637855	1.11153514637855	False
u50to0.d0to0|RBFOX1_M159_0.6	-8.3367226	8.3367226	3.2504278	3.2504278	-2.56480784	2.56480784	2.56480784	0.36875664	u50to0.d0to0	RBFOX1_M159_0.6	-1.11153514637855	0.13316903520515302	1.0	1.11153514637855	0.13316903520515302	1.0	1.11153514637855	1.11153514637855	False
u50to0.d0to0|SF1_1201	-528.8402463	528.8402463	206.19098180000003	206.19098180000003	-2.56480784	2.56480784	2.56480784	0.2901169	u50to0.d0to0	SF1_1201	-1.11153514637855	0.13316903520515302	1.0	1.11153514637855	0.13316903520515302	1.0	1.11153514637855	1.11153514637855	False
u50to0.d0to0|RBFOX1_s92	-6.5364776	6.5364776	2.5485253	2.5485253	-2.56480784	2.56480784	2.56480784	0.34962806	u50to0.d0to0	RBFOX1_s92	-1.11153514637855	0.13316903520515302	1.0	1.11153514637855	0.13316903520515302	1.0	1.11153514637855	1.11153514637855	False
u50to0.d0to0|RBFOX1_621	-6.3168584	6.3168584	2.4628973	2.4628973	-2.56480784	2.56480784	2.56480784	0.18597237	u50to0.d0to0	RBFOX1_621	-1.11153514637855	0.13316903520515302	1.0	1.11153514637855	0.13316903520515302	1.0	1.11153514637855	1.11153514637855	False
u50to0.d0to0|PPRC1_M044_0.6	-373.5295569	373.5295569	145.6364689	145.6364689	-2.56480784	2.56480784	2.56480784	0.18278427	u50to0.d0to0	PPRC1_M044_0.6	-1.11153514637855	0.13316903520515302	1.0	1.11153514637855	0.13316903520515302	1.0	1.11153514637855	1.11153514637855	False
u50to0.d0to0|SRSF1_1224	-134.2050652	134.2050652	52.32558289999999	52.32558289999999	-2.56480784	2.56480784	2.56480784	0.26780021	u50to0.d0to0	SRSF1_1224	-1.11153514637855	0.13316903520515302	1.0	1.11153514637855	0.13316903520515302	1.0	1.11153514637855	1.11153514637855	False
u50to0.d0to0|PPIE_75	6.3438658	-6.3438658	2.885787	2.885787	2.19831393	-2.19831393	2.19831393	0.80658874	u50to0.d0to0	PPIE_75	1.1032484956629198	0.134959633244416	1.0	-1.1032484956629198	0.134959633244416	1.0	1.1032484956629198	1.1032484956629198	False
u25to0.d0to25|SRSF1_167	447.98644860000013	-447.98644860000013	174.666672	174.666672	2.56480784	-2.56480784	2.56480784	0.20085016	u25to0.d0to25	SRSF1_167	1.102482931298	0.135125887516315	1.0	-1.102482931298	0.135125887516315	1.0	1.102482931298	1.102482931298	False
u25to0.d0to25|PUM1_545	459.0373477	-459.0373477	178.97533700000002	178.97533700000002	2.56480784	-2.56480784	2.56480784	0.30818278	u25to0.d0to25	PUM1_545	1.102482931298	0.135125887516315	1.0	-1.102482931298	0.135125887516315	1.0	1.102482931298	1.102482931298	False
u25to0.d0to25|RBMX_849	32.3405759	-32.3405759	12.609356	12.609356	2.56480784	-2.56480784	2.56480784	0.09458023	u25to0.d0to25	RBMX_849	1.102482931298	0.135125887516315	1.0	-1.102482931298	0.135125887516315	1.0	1.102482931298	1.102482931298	False
u25to0.d0to25|RBMX_848	6.4402745	-6.4402745	2.511016	2.511016	2.56480784	-2.56480784	2.56480784	0.15621679	u25to0.d0to25	RBMX_848	1.102482931298	0.135125887516315	1.0	-1.102482931298	0.135125887516315	1.0	1.102482931298	1.102482931298	False
u25to0.d0to25|RBMY1A1_410	493.6187607	-493.6187607	192.45838	192.45838	2.56480784	-2.56480784	2.56480784	0.25611052	u25to0.d0to25	RBMY1A1_410	1.102482931298	0.135125887516315	1.0	-1.102482931298	0.135125887516315	1.0	1.102482931298	1.102482931298	False
