GSM1705375	GSM1705377
ENST00000334160	0.0	0.0
ENST00000508999	0.0	0.0
ENST00000399889	0.0	0.0
ENST00000581194	0.0	0.0
ENST00000355459	0.0	0.0
ENST00000390690	0.0	0.0
ENST00000334068	0.0	0.0
ENST00000418755	0.0	0.0
ENST00000334067	0.0	0.0
ENST00000390689	101.684662	181.614905
ENST00000334055	0.0	0.0
ENST00000334063	0.0	0.0
ENST00000334058	0.0	0.0
ENST00000334151	0.0	148.66632099999998
ENST00000421795	0.0	0.0
ENST00000445258	0.0	0.0
ENST00000406413	0.0	0.0
ENST00000439851	0.0	0.0
ENST00000334046	0.0	0.0
ENST00000614763	0.0	0.0
ENST00000334849	0.0	0.0
ENST00000382830	0.0	0.0
ENST00000391624	0.0	0.0
ENST00000334897	0.0	0.0
ENST00000334680	0.0	0.0
ENST00000329122	0.0	0.0
ENST00000334664	0.0	0.0
ENST00000382828	0.0	0.0
ENST00000330798	0.0	0.0
ENST00000382826	0.0	0.0
ENST00000444335	0.0	0.0
ENST00000454921	0.0	0.0
ENST00000333892	0.0	0.0
ENST00000335093	0.0	0.0
ENST00000424582	0.0	0.0
ENST00000440620	0.0	0.0
ENST00000423658	0.0	0.0
ENST00000329621	0.0	0.0
ENST00000621162	0.0	0.0
ENST00000332378	0.0	0.0
ENST00000382822	0.0	0.0
ENST00000429033	346.774379	433.651091
ENST00000286827	1005.079691	227.847577
ENST00000423206	0.0	0.0
ENST00000541036	2e-06	2e-06
ENST00000636887	252.796939	357.503901
ENST00000491927	339.222723	268.00173
ENST00000469412	75.110988	0.0
ENST00000455508	0.0	0.0
ENST00000490865	0.0	0.0
ENST00000433071	519.232404	265.024018
ENST00000393804	555.787719	99.295203
ENST00000449339	0.0	104.552657
